window_start_codon,dg_mean,gc3,csc_mean,gc_pct,interface_dg,intra_dg,gene,window_size,gene_length,dg_mean_z,gc3_z,csc_mean_z,gc_pct_z,interface_dg_z,intra_dg_z
0,-1.3237931034482757,0.2,-0.0225,0.4,-1.2950000000000002,-1.3367499999999999,brca1,10,1864,-0.2802576036080808,-0.9966857303227005,-0.3718757100419784,-0.14780034077299029,-0.13441940410638306,-0.3401890552140972
10,-1.2041379310344826,0.3,-0.027000000000000003,0.3,-1.1705555555555556,-1.2192499999999997,brca1,10,1864,1.1254844793196794,-0.3661294519552779,-0.6145357001449926,-1.3787345221361043,1.0886533307021584,1.065526921663216
20,-1.314655172413793,0.7,0.010800000000000004,0.4666666666666667,-1.362222222222222,-1.29325,brca1,10,1864,-0.1729026606755569,2.1560956615144127,1.423808216720325,0.6728224468024185,-0.7950970867484927,0.18022494473622497
30,-1.3548275862068964,0.6,0.0267,0.4666666666666667,-1.3872222222222221,-1.34025,brca1,10,1864,-0.6448592965864619,1.5255393831469901,2.281206848417641,0.6728224468024185,-1.0408036629377095,-0.38206144601469866
40,-1.263793103448276,0.5,-0.021900000000000003,0.3,-1.3244444444444445,-1.2365,brca1,10,1864,0.42463900281678846,0.8949831047795676,-0.33952104469491007,-1.3787345221361043,-0.42380714939590314,0.8591558527173954
50,-1.3706896551724137,0.6,0.013899999999999996,0.5,-1.3861111111111113,-1.3637499999999998,brca1,10,1864,-0.8312112729976359,1.5255393831469901,1.5909739876801787,1.083133840590123,-1.029883370662636,-0.6632046413901591
60,-1.1489655172413793,0.2,-0.0424,0.26666666666666666,-1.0966666666666667,-1.1724999999999999,brca1,10,1864,1.7736652668368011,-0.9966857303227005,-1.4449721107197513,-1.7890459159238086,1.8148527669947292,1.6248224273569527
70,-1.2686206896551722,0.3,-0.03780000000000001,0.4,-1.2611111111111113,-1.272,brca1,10,1864,0.36792318390904344,-0.3661294519552779,-1.1969196763922263,-0.14780034077299029,0.1986495102834423,0.4344501745970152
80,-1.206551724137931,0.3,-0.0248,0.3,-1.223888888888889,-1.19875,brca1,10,1864,1.097126569865803,-0.3661294519552779,-0.4959019272057411,-1.3787345221361043,0.5644793014984971,1.3107794963524457
90,-1.3824137931034484,0.4,-0.008799999999999999,0.4666666666666667,-1.3733333333333333,-1.3865,brca1,10,1864,-0.9689496903450266,0.264426826412145,0.36688914871608636,0.6728224468024185,-0.9043000094992569,-0.9353751815940673
100,-1.1896551724137931,0.3,-0.0334,0.26666666666666666,-1.1866666666666665,-1.191,brca1,10,1864,1.2956319360429223,-0.3661294519552779,-0.9596521305137233,-1.7890459159238086,0.9303090927135542,1.4034969331252036
110,-1.1758620689655173,0.1,-0.034199999999999994,0.3,-1.1094444444444445,-1.2057499999999999,brca1,10,1864,1.4576771329222034,-1.627242008690123,-1.0027916843098144,-1.3787345221361043,1.6892694058313522,1.2270347147512455
120,-1.2436206896551723,0.5,0.013699999999999999,0.4,-1.2661111111111112,-1.2334999999999998,brca1,10,1864,0.6616301032527387,0.8949831047795676,1.580189099231156,-0.14780034077299029,0.1495081950456002,0.8950464734036259
130,-1.3460344827586206,0.3,-0.015199999999999997,0.43333333333333335,-1.2999999999999998,-1.36675,brca1,10,1864,-0.5415554835759214,-0.3661294519552779,0.0217727183473555,0.2625110530147141,-0.18356071934422297,-0.6990952620763897
140,-1.3856896551724138,0.5,0.0083,0.5,-1.376111111111111,-1.39,brca1,10,1864,-1.007435424603855,0.8949831047795676,1.2889971111075393,1.083133840590123,-0.9316007401869475,-0.9772475723946661
150,-1.342586206896552,0.4,0.0049999999999999975,0.4666666666666667,-1.3405555555555555,-1.3435,brca1,10,1864,-0.5010441843561051,0.264426826412145,1.1110464516986622,0.6728224468024185,-0.5821513873845073,-0.42094295175811336
160,-1.4220689655172414,0.6,0.0048000000000000004,0.5333333333333333,-1.422222222222222,-1.4219999999999997,brca1,10,1864,-1.4348296313729576,1.5255393831469901,1.1002615632496395,1.4934452343778273,-1.3847928696026108,-1.360080859714442
170,-1.2703448275862068,0.4,-0.007400000000000002,0.36666666666666664,-1.3016666666666667,-1.25625,brca1,10,1864,0.3476675342991314,0.264426826412145,0.4423833678592461,-0.5581117345606954,-0.1999411577568399,0.6228759331997178
180,-1.2322413793103446,0.2,-0.0183,0.4,-1.1505555555555556,-1.2690000000000001,brca1,10,1864,0.795317390678146,-0.9966857303227005,-0.14539305261249877,-0.14780034077299029,1.285218591653531,0.4703407952832431
190,-1.3084482758620692,0.3,-0.022899999999999997,0.4,-1.2538888888888888,-1.333,brca1,10,1864,-0.09998232207988589,-0.3661294519552779,-0.39344548694002396,-0.14780034077299029,0.2696314100714403,-0.29532577935631166
200,-1.2589655172413794,0.3,-0.0206,0.36666666666666664,-1.2366666666666666,-1.2690000000000001,brca1,10,1864,0.48135482172453603,-0.3661294519552779,-0.26941926977626146,-0.5581117345606954,0.43889594033512247,0.4703407952832431
210,-1.3158620689655174,0.4,-0.0108,0.43333333333333335,-1.331111111111111,-1.3089999999999997,brca1,10,1864,-0.1870816154024977,0.264426826412145,0.2590402642258578,0.2625110530147141,-0.4893289030463578,-0.00820081386647496
220,-1.3208620689655173,0.2,-0.0193,0.4,-1.2266666666666668,-1.3632499999999999,brca1,10,1864,-0.24582299927123571,-0.9966857303227005,-0.19931749485761302,-0.14780034077299029,0.5371785708108067,-0.6572228712757883
230,-1.2489655172413796,0.1,-0.045599999999999995,0.3333333333333333,-1.1866666666666665,-1.277,brca1,10,1864,0.598837589462012,-1.627242008690123,-1.6175303259041165,-0.9684231283483998,0.9303090927135542,0.3746324734533011
240,-1.2620689655172415,0.5,-0.0045000000000000005,0.4,-1.2577777777777779,-1.2639999999999998,brca1,10,1864,0.4448946524266979,0.8949831047795676,0.5987642503700774,-0.14780034077299029,0.23141038710867182,0.5301584964269624
250,-1.4575862068965515,0.4,-0.0016000000000000007,0.5333333333333333,-1.4055555555555557,-1.481,brca1,10,1864,-1.852096013337103,0.264426826412145,0.7551451328809086,1.4934452343778273,-1.2209884854764697,-2.065929733210288
260,-1.2786206896551726,0.3,-0.0259,0.36666666666666664,-1.2933333333333337,-1.272,brca1,10,1864,0.2504404161715596,-0.3661294519552779,-0.5552188136753667,-0.5581117345606954,-0.1180389656937705,0.4344501745970152
270,-1.428103448275862,0.4,-0.0072,0.5333333333333333,-1.3555555555555554,-1.4607499999999998,brca1,10,1864,-1.5057244050076435,0.264426826412145,0.453168256308269,1.4934452343778273,-0.7295753330980358,-1.8236680435782369
280,-1.3263793103448278,0.5,-0.021699999999999997,0.4,-1.3950000000000002,-1.2954999999999999,brca1,10,1864,-0.3106410780229502,0.8949831047795676,-0.3287361562458869,-0.14780034077299029,-1.1172457088632466,0.15330697922155467
290,-1.1689655172413793,0.3,-0.0334,0.3,-1.1688888888888889,-1.169,brca1,10,1864,1.5386997313618438,-0.3661294519552779,-0.9596521305137233,-1.3787345221361043,1.1050337691147731,1.6666948181575514
300,-1.2289655172413794,0.4,-0.0032000000000000015,0.3333333333333333,-1.2138888888888888,-1.23575,brca1,10,1864,0.833803124936972,0.264426826412145,0.6688660252887259,-0.9684231283483998,0.6627619319741856,0.8681285078889529
310,-1.405344827586207,0.4,-0.016399999999999998,0.5,-1.357222222222222,-1.4269999999999998,brca1,10,1864,-1.2383498301568316,0.264426826412145,-0.04293661234678164,1.083133840590123,-0.7459557715106505,-1.419898560858159
320,-1.2979310344827586,0.2,-0.0278,0.4,-1.2516666666666667,-1.31875,brca1,10,1864,0.023577140540569246,-0.9966857303227005,-0.6576752539410837,-0.14780034077299029,0.29147199462159185,-0.12484533109672434
330,-1.4227586206896552,0.5,-0.010700000000000001,0.5,-1.4716666666666667,-1.4007500000000002,brca1,10,1864,-1.442931891216922,0.8949831047795676,0.2644327084503692,1.083133840590123,-1.8707458758435056,-1.1058556298536573
340,-1.3689655172413793,0.4,-0.0027999999999999995,0.5,-1.345,-1.37975,brca1,10,1864,-0.8109556233877264,0.264426826412145,0.6904358021867716,1.083133840590123,-0.6258325564848126,-0.8546212850500512
350,-1.2943103448275861,0.5,-0.0061,0.4,-1.2877777777777777,-1.2972499999999998,brca1,10,1864,0.06611400472138124,0.8949831047795676,0.5124851427778946,-0.14780034077299029,-0.06343750431838506,0.13237078382125528
360,-1.219655172413793,0.1,-0.0316,0.36666666666666664,-1.1516666666666668,-1.2502499999999999,brca1,10,1864,0.9431836328304889,-1.627242008690123,-0.8625881344725179,-0.5581117345606954,1.274298299378453,0.6946571745721789
370,-1.26,0.4,-0.0247,0.4,-1.2483333333333335,-1.26525,brca1,10,1864,0.4692014319585909,0.264426826412145,-0.4905094829812297,-0.14780034077299029,0.32423287144681917,0.5152040711410313
380,-1.2451724137931037,0.3,-0.030199999999999998,0.3333333333333333,-1.2594444444444446,-1.23875,brca1,10,1864,0.6434000186038145,-0.3661294519552779,-0.7870939153293578,-0.9684231283483998,0.21502994869605704,0.8322378872027224
390,-1.281551724137931,0.2,-0.0295,0.4,-1.257222222222222,-1.2925,brca1,10,1864,0.21600581183471454,-0.9966857303227005,-0.7493468057577779,-0.14780034077299029,0.23687053324621296,0.1891975999077826
400,-1.3587931034482759,0.3,-0.0262,0.4666666666666667,-1.29,-1.3897500000000003,brca1,10,1864,-0.6914472906892574,-0.3661294519552779,-0.5713961463489011,0.6728224468024185,-0.0852780888685388,-0.9742566873374846
410,-1.2360344827586207,0.3,-0.0444,0.36666666666666664,-1.2155555555555557,-1.24525,brca1,10,1864,0.750754961536341,-0.3661294519552779,-1.5528209952099798,-0.5581117345606954,0.6463814935615687,0.754474875715893
420,-1.1698275862068968,0.2,-0.0342,0.3333333333333333,-1.1322222222222222,-1.1867500000000002,brca1,10,1864,1.5285719065568864,-0.9966857303227005,-1.0027916843098148,-0.9684231283483998,1.4654034141922891,1.4543419790973602
430,-1.3689655172413795,0.3,-0.027499999999999997,0.4666666666666667,-1.3322222222222224,-1.3855,brca1,10,1864,-0.810955623387729,-0.3661294519552779,-0.6414979212675493,0.6728224468024185,-0.500249195321438,-0.9234116413653228
440,-1.1944827586206896,0.2,-0.0365,0.3,-1.181111111111111,-1.2005,brca1,10,1864,1.2389161171351746,-0.9966857303227005,-1.1268179014735773,-1.3787345221361043,0.9849105540889352,1.2898433009521464
450,-1.1268965517241378,0.2,-0.052700000000000004,0.26666666666666666,-1.126111111111111,-1.12725,brca1,10,1864,2.0329375818436515,-0.9966857303227005,-2.000393865844428,-1.7890459159238086,1.525465021705209,2.1661726227075744
460,-1.3512068965517245,0.6,-0.004900000000000001,0.4666666666666667,-1.3433333333333333,-1.35475,brca1,10,1864,-0.6023224324056577,1.5255393831469901,0.5771944734720317,0.6728224468024185,-0.6094521180721979,-0.5555327793314727
470,-1.302413793103448,0.4,-0.0169,0.4,-1.298888888888889,-1.304,brca1,10,1864,-0.029087548445194882,0.264426826412145,-0.06989883346933877,-0.14780034077299029,-0.17264042706914937,0.05161688727723648
480,-1.2270689655172418,0.1,-0.051000000000000004,0.36666666666666664,-1.1188888888888888,-1.27575,brca1,10,1864,0.8560843395078692,-1.627242008690123,-1.9087223140277338,-0.5581117345606954,1.5964469214932049,0.3895868987392296
490,-1.3234482758620691,0.4,-0.020800000000000003,0.43333333333333335,-1.3072222222222223,-1.33075,brca1,10,1864,-0.2762064736861025,0.264426826412145,-0.28020415822528444,0.2625110530147141,-0.254542619132221,-0.26840781384164136
500,-1.2181034482758624,0.2,-0.0413,0.3333333333333333,-1.1666666666666667,-1.2412500000000002,brca1,10,1864,0.9614137174794027,-0.9966857303227005,-1.3856552242501259,-0.9684231283483998,1.1268743536649248,0.8023290366308626
510,-1.2813793103448274,0.4,-0.0024999999999999996,0.4,-1.2849999999999997,-1.27975,brca1,10,1864,0.21803137679570755,0.264426826412145,0.7066131348603059,-0.14780034077299029,-0.03613677363069235,0.3417327378242573
520,-1.347241379310345,0.2,-0.023,0.43333333333333335,-1.267777777777778,-1.383,brca1,10,1864,-0.5557344383028623,-0.9966857303227005,-0.39883793116453553,0.2625110530147141,0.13312775663298546,-0.8935027907934658
530,-1.2724137931034485,0.5,-0.009600000000000001,0.4,-1.2822222222222222,-1.268,brca1,10,1864,0.3233607547672358,0.8949831047795676,0.32374959491999483,-0.14780034077299029,-0.008836042943004,0.4823043355119875
540,-1.1805172413793104,0.3,-0.023400000000000004,0.3,-1.1294444444444443,-1.2035,brca1,10,1864,1.402986878975446,-0.3661294519552779,-0.4204077080625815,-1.3787345221361043,1.4927041448799818,1.2539526802659158
550,-1.23448275862069,0.1,-0.0402,0.3333333333333333,-1.2011111111111112,-1.2495,brca1,10,1864,0.7689850461852574,-1.627242008690123,-1.3263383377805,-0.9684231283483998,0.7883452931375604,0.7036298297437339
560,-1.2001724137931036,0.3,-0.017,0.3333333333333333,-1.165,-1.2159999999999997,brca1,10,1864,1.1720724734224697,-0.3661294519552779,-0.07529127769385034,-0.9684231283483998,1.1432547920775396,1.1044084274066306
570,-1.2155172413793103,0.2,-0.021600000000000005,0.3333333333333333,-1.1816666666666669,-1.23075,brca1,10,1864,0.9917971918942722,-0.9966857303227005,-0.3233437120213759,-0.9684231283483998,0.9794504079513942,0.927946209032667
580,-1.3281034482758622,0.3,-0.022700000000000005,0.4,-1.3111111111111111,-1.33575,brca1,10,1864,-0.3308967276328597,-0.3661294519552779,-0.38266059849100154,-0.14780034077299029,-0.2927636420949873,-0.32822551498535546
590,-1.1213793103448277,0.4,-0.0248,0.26666666666666666,-1.1544444444444446,-1.1065,brca1,10,1864,2.0977556605953604,0.264426826412145,-0.4959019272057411,-1.7890459159238086,1.2469975686907626,2.4144160824539935
600,-1.2127586206896552,0.3,-0.028800000000000003,0.3333333333333333,-1.1272222222222221,-1.25125,brca1,10,1864,1.0242062312701268,-0.3661294519552779,-0.7115996961861981,-0.9684231283483998,1.5145447294301333,0.6826936343434344
